Y,X1,X2,X3
709,502606,722,-1
219,47886,234,10
721,519766,744,16
558,311289,557,6
346,119641,372,12
750,562425,779,1
878,770809,901,-3
547,299134,499,12
979,958366,953,0
925,855550,908,0
949,900526,906,0
550,302425,500,4
457,208774,398,9
432,186549,451,14
586,343321,547,12
729,531366,766,0
544,295861,599,8
733,537214,660,-1
438,191769,432,9
247,60934,314,9
697,485734,764,3
218,47449,213,0
664,440821,718,3
284,80581,255,-1
768,589749,727,7
883,779614,928,-1
658,432889,729,3
961,923446,905,14
715,511150,739,1
594,352761,577,4
843,710574,842,9
897,804534,919,1
920,846325,936,13
929,862966,910,6
630,396825,565,4
251,62926,299,13
416,172981,466,4
221,48766,152,3
988,976069,998,-3
977,954454,1002,2
393,154374,348,3
564,318021,497,13
588,345669,554,1
605,365950,640,13
527,277654,572,-1
790,624025,864,16
317,100414,302,-3
270,72825,220,3
773,597454,843,8
389,151246,447,12
563,316894,611,0
604,364741,655,4
423,178854,497,3
953,908134,889,13
733,537214,693,-2
740,547525,778,13
526,276601,578,-1
787,619294,827,9
708,501189,728,2
897,804534,896,16
208,43189,155,4
625,390550,683,1
532,282949,606,2
388,150469,459,15
536,287221,600,11
846,715641,899,14
342,116889,276,-3
852,725829,892,13
929,862966,893,7
987,974094,981,-2
992,983989,941,3
366,133881,396,8
415,172150,393,1
370,136825,314,15
386,148921,349,9
522,272409,509,-3
751,563926,724,-2
409,167206,341,3
549,301326,614,-3
739,546046,677,3
938,879769,901,13
525,275550,465,-1
608,369589,676,2
502,251929,569,0
307,94174,262,-4
515,265150,478,-1
473,223654,548,4
658,432889,606,10
927,859254,898,0
541,292606,583,-3
794,630361,791,13
882,777849,944,12
972,944709,964,-3
857,734374,900,10
219,47886,156,15
201,40326,134,14
870,756825,919,-1
239,57046,190,-1
276,76101,277,7
782,611449,826,1
918,842649,917,-3
436,190021,415,-2
354,125241,358,7
768,589749,705,1
435,189150,440,6
843,710574,775,5
330,108825,330,2
466,217081,524,5
950,902425,917,8
953,908134,990,8
215,46150,268,10
947,896734,947,15
945,892950,936,4
663,439494,619,-1
402,161529,440,-4
507,256974,552,6
539,290446,591,15
917,840814,884,12
767,588214,744,-1
925,855550,941,16
566,320281,564,16
631,398086,625,-2
274,75001,309,12
498,247929,445,10
332,110149,390,9
713,508294,723,-3
395,155950,336,14
788,620869,794,11
730,532825,728,6
563,316894,559,11
645,415950,596,1
244,59461,261,4
283,80014,248,11
437,190894,467,3
417,173814,350,5
434,188281,484,14
668,446149,683,10
646,417241,677,15
359,128806,334,8
868,753349,793,6
424,179701,469,14
854,729241,794,16
800,639925,782,-1
286,81721,287,1
947,896734,967,7
362,130969,415,14
897,804534,955,8
715,511150,735,-2
505,254950,497,8
432,186549,427,2
453,205134,445,12
337,113494,319,9
656,430261,722,2
454,206041,498,14
912,831669,837,11
898,806329,936,16
713,508294,643,14
369,136086,386,1
352,123829,380,-3
753,566934,684,0
444,197061,407,13
210,44025,211,8
208,43189,143,0
1000,999925,944,16
542,293689,485,9
399,159126,439,12
504,253941,432,15
512,262069,470,6
363,131694,376,7
533,284014,541,1
816,665781,821,11
217,47014,159,-3
962,925369,998,14
243,58974,195,3
831,690486,808,-1
736,541621,680,9
770,592825,828,0
244,59461,209,-3
420,176325,400,-2
560,313525,619,11
886,784921,823,-2
297,88134,253,8
601,361126,590,-1
812,659269,881,0
599,358726,614,5
415,172150,345,5
625,390550,621,-2
796,633541,824,4
461,212446,528,-3
345,118950,413,5
207,42774,157,0
701,491326,711,14
381,145086,430,-1
280,78325,332,3
588,345669,587,13
951,904326,1026,11
784,614581,738,9
749,560926,724,9
559,312406,568,14
621,385566,591,-2
781,609886,715,12
712,506869,684,-1
712,506869,652,13
717,514014,734,10
894,799161,880,3
304,92341,304,-2
499,248926,486,15
728,529909,786,1
573,328254,528,3
371,137566,355,3
798,636729,850,6
765,585150,733,2
426,181401,407,9
579,335166,613,9
756,571461,809,15
908,824389,980,-2
812,659269,810,2
519,269286,587,0
659,434206,689,4
362,130969,388,14
564,318021,636,15
284,80581,266,2
445,197950,459,4
961,923446,992,15
559,312406,550,-3
795,631950,795,6
877,769054,918,8
808,652789,837,5
583,339814,509,-1
822,675609,775,13
786,617721,826,9
263,69094,247,4
897,804534,831,3
208,43189,209,12
455,206950,403,6
918,842649,889,3
850,722425,881,16
795,631950,742,3
517,267214,571,10
373,139054,316,14
333,110814,320,-2
620,384325,690,5
734,538681,773,12
835,697150,836,15
829,687166,816,1
445,197950,406,-3
237,56094,270,2
385,148150,412,11
663,439494,603,15
696,484341,725,1
478,228409,408,0
802,643129,876,10
952,906229,963,6
922,850009,862,5
868,753349,920,10
855,730950,873,3
206,42361,251,-2
507,256974,534,-3
415,172150,473,0
684,467781,664,14
214,45721,162,14
549,301326,551,8
505,254950,436,3
544,295861,611,14
725,525550,774,3
661,436846,669,-3
715,511150,784,14
415,172150,425,7
570,324825,596,10
614,376921,614,1
753,566934,725,2
508,257989,521,14
532,282949,569,1
490,240025,474,11
541,292606,553,10
856,732661,898,4
978,956409,961,16
428,183109,481,2
915,837150,905,3
349,121726,318,-4
830,688825,792,-2
222,49209,243,2
792,627189,717,5
436,190021,463,0
302,91129,315,4
685,469150,743,4
378,142809,434,0
571,325966,536,13
328,107509,264,14
647,418534,574,5
746,556441,750,15
890,792025,837,7
835,697150,792,5
291,84606,340,12
239,57046,257,9
809,654406,857,-3
431,185686,377,14
790,624025,765,11
492,241989,502,0
644,414661,640,7
595,353950,598,-1
467,218014,497,11
431,185686,441,-1
808,652789,869,13
475,225550,510,0
356,126661,376,-3
672,451509,637,11
519,269286,571,6
848,719029,907,9
482,232249,537,-2
361,130246,343,8
845,713950,784,2
249,61926,318,2
354,125241,360,5
949,900526,891,7
241,58006,312,14
806,649561,875,-2
501,250926,456,-3
408,166389,438,-3
446,198841,468,2
303,91734,318,6
893,797374,873,6
400,159925,423,-3
630,396825,576,5
503,252934,565,14
908,824389,945,9
735,540150,664,12
327,106854,320,3
738,544569,697,-1
667,444814,711,12
256,65461,206,13
730,532825,747,14
568,322549,546,9
341,116206,287,5
746,556441,736,5
310,96025,292,2
877,769054,951,7
465,216150,517,0
511,261046,526,10
627,393054,575,10
878,770809,952,-1
310,96025,283,9
592,350389,558,8
634,401881,605,-1
875,765550,940,1
835,697150,840,16
408,166389,349,14
306,93561,299,15
760,577525,686,10
342,116889,350,11
962,925369,988,5
276,76101,231,10
816,665781,840,4
624,389301,626,9
469,219886,497,10
966,933081,964,-1
434,188281,470,13
863,744694,934,13
499,248926,574,15
758,574489,814,12
434,188281,366,2
260,67525,265,6
452,204229,526,-3
949,900526,925,0
906,820761,889,14
402,161529,418,6
467,218014,429,5
721,519766,671,11
646,417241,594,-3
396,156741,386,1
350,122425,408,11
822,675609,752,16
555,307950,524,-2
747,557934,801,-1
710,504025,700,5
792,627189,855,3
919,844486,939,5
520,270325,458,12
901,811726,920,2
979,958366,915,15
640,409525,606,-1
587,344494,631,8
831,690486,860,13
370,136825,394,13
290,84025,272,4
398,158329,451,-1
513,263094,563,-3
352,123829,347,0
811,657646,759,13
909,826206,938,10
422,178009,374,0
649,421126,579,10
442,195289,461,3
225,50550,299,13
446,198841,482,5
986,972121,1011,8
904,817141,912,15
492,241989,467,0
703,494134,656,9
356,126661,360,4
837,700494,829,4
772,595909,793,-3
744,553461,722,1
257,65974,289,11
511,261046,457,8
542,293689,468,15
308,94789,366,6
448,200629,381,11
641,410806,611,14
540,291525,515,-3
662,438169,694,0
726,527001,702,11
807,651174,781,9
509,259006,509,-3
690,476025,763,4
372,138309,364,15
411,168846,418,4
650,422425,669,4
757,572974,799,10
843,710574,877,13
483,233214,444,10
334,111481,362,7
269,72286,303,6
335,112150,349,7
699,488526,732,0
702,492729,687,-1
879,772566,912,12
227,51454,194,-2
327,106854,339,12
959,919606,965,5
936,876021,914,3
650,422425,716,8
435,189150,450,3
990,980025,938,6
371,137566,430,4
665,442150,592,5
223,49654,275,13
430,184825,455,1
691,477406,645,7
590,348025,577,16
736,541621,719,12
608,369589,583,10
356,126661,288,4
409,167206,412,12
500,249925,492,4
494,243961,431,-2
908,824389,942,0
770,592825,699,6
260,67525,327,11
779,606766,767,7
309,95406,342,12
508,257989,494,3
772,595909,768,8
544,295861,570,3
506,255961,552,10
470,220825,502,9
586,343321,656,-2
811,657646,751,13
806,649561,828,9
876,767301,852,-1
973,946654,927,2
875,765550,820,15
407,165574,408,11
226,51001,198,9
546,298041,611,-3
593,351574,603,11
633,400614,705,-1
360,129525,287,10
845,713950,877,1
425,180550,447,6
951,904326,973,7
818,669049,823,16
314,98521,241,6
283,80014,268,12
890,792025,904,7
295,86950,253,2
632,399349,557,1
434,188281,468,14
951,904326,876,14
851,724126,785,-2
542,293689,512,11
355,125950,325,14
482,232249,479,10
932,868549,957,6
264,69621,194,3
793,628774,861,13
516,266181,510,15
943,889174,879,4
641,410806,653,0
611,373246,627,0
238,56569,305,-3
725,525550,717,8
830,688825,830,14
780,608325,814,14
404,163141,397,2
847,717334,814,13
509,259006,481,0
215,46150,284,14
213,45294,272,-3
237,56094,260,3
417,173814,343,15
260,67525,231,-2
477,227454,537,8
587,344494,548,6
886,784921,905,9
708,501189,708,3
965,931150,1025,9
590,348025,585,9
660,435525,613,3
501,250926,465,12
526,276601,507,13
453,205134,475,9
966,933081,979,14
210,44025,245,3
580,336325,524,2
940,883525,1011,10
839,703846,811,-2
817,667414,798,6
804,646341,757,-1
566,320281,565,7
659,434206,718,4
327,106854,259,10
205,41950,216,7
615,378150,603,12
612,374469,579,5
376,141301,346,15
907,822574,866,1
734,538681,798,13
942,887289,921,6
964,929221,939,7
231,53286,195,12
966,933081,927,-1
753,566934,715,16
454,206041,528,7
904,817141,923,0
950,902425,1004,5
753,566934,748,7
652,425029,686,4
305,92950,264,-3
925,855550,855,16
632,399349,683,11
808,652789,772,7
407,165574,480,12
693,480174,645,1
431,185686,420,9
877,769054,858,11
311,96646,386,3
705,496950,676,4
610,372025,645,2
284,80581,275,-2
700,489925,636,16
887,786694,876,-2
950,902425,976,15
301,90526,270,9
873,762054,842,10
558,311289,586,7
611,373246,681,6
342,116889,382,0
740,547525,808,12
520,270325,568,5
742,550489,705,14
798,636729,812,15
415,172150,402,3
945,892950,874,1
626,391801,573,-3
387,149694,314,0
912,831669,910,10
672,451509,650,2
379,143566,400,-2
989,978046,922,16
980,960325,928,12
959,919606,899,13
252,63429,235,15
788,620869,799,6
222,49209,221,3
950,902425,912,11
235,55150,183,12
358,128089,327,5
798,636729,729,13
873,762054,881,1
924,853701,916,-1
200,39925,210,4
819,670686,870,13
850,722425,790,7
750,562425,806,2
495,244950,488,2
322,103609,264,5
740,547525,690,11
224,50101,255,-3
999,997926,1034,0
268,71749,302,4
380,144325,443,6
656,430261,582,8
226,51001,211,6
428,183109,436,5
671,450166,631,12
984,968181,993,13
255,64950,256,7
835,697150,799,13
676,456901,655,14
791,625606,777,4
305,92950,273,-1
771,594366,821,13
483,233214,474,8
668,446149,609,9
350,122425,344,4
760,577525,761,11
857,734374,871,16
236,55621,189,0
520,270325,525,3
568,322549,500,-3
998,995929,987,16
931,866686,866,0
716,512581,735,5
435,189150,439,9
349,121726,301,15
966,933081,928,2
744,553461,714,9
308,94789,357,1
734,538681,755,7
887,786694,820,-3
218,47449,232,12
392,153589,328,10
628,394309,556,7
450,202425,419,-3
814,662521,855,8
373,139054,421,-2
375,140550,408,5
857,734374,913,-2
445,197950,449,12
219,47886,177,6
766,586681,719,-1
912,831669,907,1
424,179701,420,10
912,831669,975,9
647,418534,592,-3
397,157534,399,10
713,508294,654,-2
753,566934,692,5
676,456901,622,4
534,285081,570,16
345,118950,349,2
828,685509,819,2
390,152025,325,15
429,183966,462,1
505,254950,472,16
814,662521,741,0
392,153589,335,14
228,51909,164,3
802,643129,748,9
564,318021,543,14
792,627189,766,5
769,591286,817,-2
541,292606,519,15
702,492729,641,15
517,267214,513,12
605,365950,667,15
700,489925,761,-1
765,585150,730,14
392,153589,431,0
230,52825,286,7
706,498361,654,-2
791,625606,843,5
898,806329,937,9
274,75001,205,3
230,52825,203,10
519,269286,522,-2
735,540150,680,2
921,848166,940,3
591,349206,531,6
764,583621,830,1
795,631950,751,12
991,982006,1035,0
463,214294,424,14
637,405694,675,15
630,396825,676,16
823,677254,791,7
350,122425,351,9
